poll_id,pollster,numeric_grade,pollscore,methodology,transparency_score,state,end_date,sample_size,cycle,office_type,election_date,party,candidate_name,pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88490,Bullfinch,,,Online Panel,4.0,Nebraska,10/1/24,400,2024,U.S. Senate,11/5/24,REP,Deb Fischer,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88490,Bullfinch,,,Online Panel,4.0,Nebraska,10/1/24,400,2024,U.S. Senate,11/5/24,IND,Dan Osborn,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88478,ActiVote,,,App Panel,8.0,Missouri,10/1/24,400,2024,U.S. Senate,11/5/24,DEM,Lucas Kunce,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88478,ActiVote,,,App Panel,8.0,Missouri,10/1/24,400,2024,U.S. Senate,11/5/24,REP,Josh Hawley,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88504,Mitchell,2.4,-0.2,Text-to-Web,7.0,Michigan,9/30/24,709,2024,U.S. Senate,11/5/24,DEM,Elissa Slotkin,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88504,Mitchell,2.4,-0.2,Text-to-Web,7.0,Michigan,9/30/24,709,2024,U.S. Senate,11/5/24,REP,Mike Rogers,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88450,InsiderAdvantage,2.0,-0.3,Text,5.0,Arizona,9/30/24,800,2024,U.S. Senate,11/5/24,DEM,Ruben Gallego,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88450,InsiderAdvantage,2.0,-0.3,Text,5.0,Arizona,9/30/24,800,2024,U.S. Senate,11/5/24,REP,Kari Lake,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88451,InsiderAdvantage,2.0,-0.3,Text,5.0,Nevada,9/30/24,800,2024,U.S. Senate,11/5/24,DEM,Jacky S. Rosen,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88451,InsiderAdvantage,2.0,-0.3,Text,5.0,Nevada,9/30/24,800,2024,U.S. Senate,11/5/24,REP,Sam Brown,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88468,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,4.0,Wisconsin,9/30/24,1079,2024,U.S. Senate,11/5/24,DEM,Tammy Baldwin,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88468,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,4.0,Wisconsin,9/30/24,1079,2024,U.S. Senate,11/5/24,REP,Eric D. Hovde,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
